"fold","mean","sd","min","max","rmse","mae"
1,0.390069216196523,0.299077204381012,-0.107917274732695,1.03127438687163,0.487723489298684,0.403091420525342
2,-0.442916404115912,0.17365999235914,-0.753411394425022,-0.154102109570857,0.474421921157798,0.442916404115912
3,-0.183182728454618,0.220123945919451,-1.02486580487584,0.145195690006453,0.282827728348188,0.202953973128486
4,0.0448772561389696,0.379231736079669,-0.59393195354248,0.885302957267833,0.373949615411594,0.292779293674194
5,-0.151704018169755,0.356456961022829,-0.445747421478313,0.817296550994576,0.380501566768012,0.333023589917256
6,-0.0488276953030837,0.197694656126186,-0.345360319921308,0.308438803455009,0.199596731382538,0.174970656592489
7,0.0668441703421574,0.332174077919398,-0.32455126270554,1.17294432004447,0.331979332286314,0.23314086008195
8,0.201125140778513,0.249134859251644,-0.335189376869133,0.626879837256343,0.316122328000173,0.290943843978405
9,0.72010399173509,0.452376565864971,0.0032812585786175,1.5362318909869,0.845380068194539,0.72010399173509
10,-0.212160491174832,0.157092186824405,-0.519712951343944,0.151155690276571,0.262033931095002,0.22684987937609
